,,"Violent Crime Rates (per 100,000 population)",,,,
"British Columbia (28,41,49)",Intimidation of a justice system participant or a journalist,0.21,0.58,0.64,0.5,0.67
"British Columbia (28,41,49)",Intimidation of a non-justice participant,1.14,1.19,1.26,1.57,1.41
"British Columbia (28,41,49)",Explosives causing death or bodily harm,0.07,0.07,0.02,0.09,0.02
"British Columbia (28,41,49)","Arson, disregard for human life",2.49,1.46,2.72,1.57,2.1
"British Columbia (28,41,49)",Other violent violations,1.3,1.77,1.66,2.56,1.71
Yukon,Total violent Criminal Code violations (16),3833.84,4160.37,4227.3,4152.78,4035.9
Yukon,"Homicide (17,24)",9.06,5.93,2.89,0,0
Yukon,"Murder, first degree (17,24)",0,0,2.89,0,0
Yukon,"Murder, second degree (17,24)",9.06,2.96,0,0,0
Yukon,"Manslaughter (17,24)",0,2.96,0,0,0
Yukon,"Infanticide (17,24)",,,0,0,0
Yukon,Total other violations causing death,3.02,0,0,0,0
Yukon,Criminal negligence causing death,0,0,0,0,0
Yukon,Other related violations causing death,3.02,0,0,0,0
Yukon,Attempted murder,3.02,8.89,0,11.3,0
Yukon,"Sexual assault, level 3, aggravated",6.04,2.96,0,0,0
Yukon,"Sexual assault, level 2, weapon or bodily harm",0,5.93,2.89,5.65,11.08
Yukon,"Sexual assault, level 1",151.06,210.39,190.58,175.15,202.21
Yukon,Total sexual violations against children (26),0,5.93,8.66,11.3,24.93
Yukon,Sexual interference (26),0,5.93,2.89,8.48,24.93
Yukon,Invitation to sexual touching (26),0,0,2.89,2.83,0
Yukon,Sexual exploitation (26),0,0,0,0,0
Yukon,Making sexually explicit material available to children (48),,,,,0
Yukon,Luring a child via a computer (26),0,0,2.89,0,0
Yukon,"Assault, level 3, aggravated",36.25,41.49,43.31,73.45,44.32
Yukon,"Assault, level 2, weapon or bodily harm",486.4,462.26,436.01,519.8,501.37
Yukon,"Assault, level 1",2012.08,2154.27,2029.91,2209.16,2041.49
Yukon,"Total assaults against a peace officer (25,35)",72.51,154.09,245.44,113,80.33
Yukon,Total other assaults,9.06,5.93,17.33,8.48,8.31
Yukon,Unlawfully causing bodily harm,0,0,0,0,0
Yukon,Criminal negligence causing bodily harm,0,0,2.89,8.48,2.77
Yukon,Other assaults,9.06,5.93,14.44,0,5.54
Yukon,"Total firearms; use of, discharge, pointing",6.04,14.82,28.88,14.13,22.16
Yukon,Discharge firearm with intent,0,5.93,0,2.83,16.62
Yukon,Using firearm in commission of offence,0,0,11.55,0,0
Yukon,Pointing a firearm,6.04,8.89,17.33,11.3,5.54
Yukon,Total robbery (18),48.34,26.67,49.09,36.73,30.47
Yukon,Robbery (18),48.34,26.67,49.09,36.73,30.47
Yukon,Robbery to steal a firearm (18),,,0,0,0
Yukon,Total forcible confinement or kidnapping (34),27.19,71.12,51.98,25.43,22.16
Yukon,Forcible confinement or kidnapping (34),27.19,71.12,49.09,8.48,0
Yukon,Kidnapping (34),,,0,2.83,0
Yukon,Forcible confinement (34),,,2.89,14.13,22.16
Yukon,Total abduction,6.04,2.96,8.66,0,0
Yukon,"Abduction under the age 14, not parent or guardian",0,2.96,2.89,0,0
Yukon,Abduction under the age 16,3.02,0,0,0,0
Yukon,Removal of children from Canada,0,0,0,0,0
Yukon,Abduction under the age 14 contravening a custody order,0,0,0,0,0
Yukon,"Abduction under age 14, by parent or guardian",3.02,0,5.78,0,0
Yukon,Extortion,6.04,5.93,0,0,2.77
Yukon,Criminal harassment (36),72.51,38.52,63.53,45.2,44.32
Yukon,Uttering threats,682.78,717.1,768.08,669.53,689.73
Yukon,Threatening or harassing phone calls,154.08,192.61,245.44,214.7,285.31
Yukon,Total other violent violations,42.3,32.6,34.65,19.78,24.93
Yukon,Conspire to commit murder,0,0,0,0,0
Yukon,Other sexual violations,27.19,20.74,0,0,0
Yukon,Sexual Exploitation of a person with a disability,0,0,0,0,0
Yukon,Incest,0,0,2.89,0,0
Yukon,Corrupting morals of a child,0,0,0,0,0
Yukon,Anal intercourse,0,0,0,0,0
Yukon,"Bestiality, commit or compel person",0,0,0,0,0
Yukon,Voyeurism,0,0,0,0,2.77
Yukon,Trap likely to or causing bodily harm,,,0,0,0
Yukon,Hostage-taking,0,0,0,0,0
Yukon,Trafficking in persons,0,0,0,0,0
Yukon,Intimidation of a justice system participant or a journalist,0,0,0,5.65,2.77
Yukon,Intimidation of a non-justice participant,0,2.96,14.44,11.3,5.54
Yukon,Explosives causing death or bodily harm,0,0,0,0,0
Yukon,"Arson, disregard for human life",3.02,2.96,11.55,2.83,0
Yukon,Other violent violations,12.08,5.93,5.78,0,13.85
Northwest Territories (15),Total violent Criminal Code violations (16),8786.51,8570.71,8472.18,8436.62,7993.26
Northwest Territories (15),"Homicide (17,24)",6.87,4.58,2.28,6.79,11.53
Northwest Territories (15),"Murder, first degree (17,24)",0,0,0,2.26,2.31
Northwest Territories (15),"Murder, second degree (17,24)",4.58,4.58,0,2.26,6.92
Northwest Territories (15),"Manslaughter (17,24)",2.29,0,2.28,2.26,2.31
Northwest Territories (15),"Infanticide (17,24)",,,0,0,0
Northwest Territories (15),Total other violations causing death,0,0,4.56,0,0
Northwest Territories (15),Criminal negligence causing death,0,0,4.56,0,0
Northwest Territories (15),Other related violations causing death,0,0,0,0,0
Northwest Territories (15),Attempted murder,0,4.58,0,2.26,4.61
Northwest Territories (15),"Sexual assault, level 3, aggravated",2.29,0,0,9.05,0
Northwest Territories (15),"Sexual assault, level 2, weapon or bodily harm",4.58,2.29,18.23,0,13.84
Northwest Territories (15),"Sexual assault, level 1",402.82,426.24,408,404.87,392.17
Northwest Territories (15),Total sexual violations against children (26),0,9.17,34.19,36.19,39.22
Northwest Territories (15),Sexual interference (26),0,6.87,31.91,24.88,36.91
Northwest Territories (15),Invitation to sexual touching (26),0,0,0,11.31,0
Northwest Territories (15),Sexual exploitation (26),0,0,0,0,0
Northwest Territories (15),Making sexually explicit material available to children (48),,,,,0
Northwest Territories (15),Luring a child via a computer (26),0,2.29,2.28,0,2.31
Northwest Territories (15),"Assault, level 3, aggravated",59.51,68.75,70.66,70.12,85.35
Northwest Territories (15),"Assault, level 2, weapon or bodily harm",977.3,928.11,850.18,972.59,784.33
Northwest Territories (15),"Assault, level 1",4806.37,4750.56,4291.93,4270.33,4339.2
Northwest Territories (15),"Total assaults against a peace officer (25,35)",132.75,229.16,490.05,210.35,110.73
Northwest Territories (15),Total other assaults,2.29,4.58,2.28,2.26,6.92
Northwest Territories (15),Unlawfully causing bodily harm,2.29,0,0,0,0
Northwest Territories (15),Criminal negligence causing bodily harm,0,0,2.28,0,2.31
Northwest Territories (15),Other assaults,0,4.58,0,2.26,4.61
Northwest Territories (15),"Total firearms; use of, discharge, pointing",18.31,11.46,36.47,24.88,36.91
Northwest Territories (15),Discharge firearm with intent,4.58,6.87,2.28,6.79,13.84
Northwest Territories (15),Using firearm in commission of offence,0,0,2.28,2.26,0
Northwest Territories (15),Pointing a firearm,13.73,4.58,31.91,15.83,23.07
Northwest Territories (15),Total robbery (18),50.35,29.79,54.7,33.93,53.06
Northwest Territories (15),Robbery (18),50.35,29.79,54.7,33.93,53.06
Northwest Territories (15),Robbery to steal a firearm (18),,,0,0,0
Northwest Territories (15),Total forcible confinement or kidnapping (34),109.86,89.37,107.13,42.97,48.44
Northwest Territories (15),Forcible confinement or kidnapping (34),109.86,89.37,104.85,9.05,0
Northwest Territories (15),Kidnapping (34),,,0,0,0
Northwest Territories (15),Forcible confinement (34),,,2.28,33.93,48.44
Northwest Territories (15),Total abduction,6.87,11.46,4.56,4.52,0
Northwest Territories (15),"Abduction under the age 14, not parent or guardian",2.29,6.87,0,4.52,0
Northwest Territories (15),Abduction under the age 16,0,0,0,0,0
Northwest Territories (15),Removal of children from Canada,0,0,0,0,0
Northwest Territories (15),Abduction under the age 14 contravening a custody order,0,0,0,0,0
Northwest Territories (15),"Abduction under age 14, by parent or guardian",4.58,4.58,4.56,0,0
Northwest Territories (15),Extortion,4.58,2.29,4.56,4.52,0
Northwest Territories (15),Criminal harassment (36),107.57,128.33,132.2,199.04,140.72
Northwest Territories (15),Uttering threats,1441.91,1193.94,1315.16,1318.65,1264.16
Northwest Territories (15),Threatening or harassing phone calls,629.41,643.95,617.69,798.43,615.93
Northwest Territories (15),Total other violent violations,22.89,32.08,27.35,24.88,46.14
Northwest Territories (15),Conspire to commit murder,0,0,0,0,2.31
Northwest Territories (15),Other sexual violations,11.44,16.04,0,0,0
Northwest Territories (15),Sexual Exploitation of a person with a disability,0,0,0,0,0
Northwest Territories (15),Incest,0,0,2.28,4.52,13.84
Northwest Territories (15),Corrupting morals of a child,0,2.29,0,0,2.31
Northwest Territories (15),Anal intercourse,0,0,0,0,0
Northwest Territories (15),"Bestiality, commit or compel person",0,0,0,2.26,0
Northwest Territories (15),Voyeurism,0,0,4.56,4.52,6.92
Northwest Territories (15),Trap likely to or causing bodily harm,,,0,0,0
Northwest Territories (15),Hostage-taking,0,0,0,0,0
Northwest Territories (15),Trafficking in persons,0,0,0,2.26,0
Northwest Territories (15),Intimidation of a justice system participant or a journalist,0,2.29,6.84,2.26,6.92
Northwest Territories (15),Intimidation of a non-justice participant,0,0,9.12,0,0
Northwest Territories (15),Explosives causing death or bodily harm,0,0,0,0,0
Northwest Territories (15),"Arson, disregard for human life",4.58,6.87,2.28,2.26,6.92
Northwest Territories (15),Other violent violations,6.87,4.58,2.28,6.79,6.92
Nunavut (15),Total violent Criminal Code violations (16),9733.03,9365.39,10382.96,9791.06,10003.86
Nunavut (15),"Homicide (17,24)",12.65,18.64,18.28,20.86,14.84
Nunavut (15),"Murder, first degree (17,24)",0,3.11,0,0,11.87
Nunavut (15),"Murder, second degree (17,24)",9.49,9.32,15.23,17.88,0
Nunavut (15),"Manslaughter (17,24)",3.16,6.21,3.05,2.98,2.97
Nunavut (15),"Infanticide (17,24)",,,0,0,0
Nunavut (15),Total other violations causing death,3.16,0,0,0,0
Nunavut (15),Criminal negligence causing death,3.16,0,0,0,0
Nunavut (15),Other related violations causing death,0,0,0,0,0
Nunavut (15),Attempted murder,22.14,24.85,15.23,0,0
Nunavut (15),"Sexual assault, level 3, aggravated",6.33,9.32,6.09,2.98,2.97
Nunavut (15),"Sexual assault, level 2, weapon or bodily harm",15.82,18.64,12.19,11.92,2.97
Nunavut (15),"Sexual assault, level 1",673.75,630.57,594.1,566.3,525.27
Nunavut (15),Total sexual violations against children (26),44.28,34.17,112.73,154.99,103.87
Nunavut (15),Sexual interference (26),44.28,24.85,85.31,131.14,92
Nunavut (15),Invitation to sexual touching (26),0,6.21,27.42,23.84,11.87
Nunavut (15),Sexual exploitation (26),0,0,0,0,0
Nunavut (15),Making sexually explicit material available to children (48),,,,,0
Nunavut (15),Luring a child via a computer (26),0,3.11,0,0,0
Nunavut (15),"Assault, level 3, aggravated",104.38,90.08,79.21,86.44,106.83
Nunavut (15),"Assault, level 2, weapon or bodily harm",1202,1136.89,1041.95,1028.29,1264.21
Nunavut (15),"Assault, level 1",5522.87,5156.4,5374.28,5281.51,5172.57
Nunavut (15),"Total assaults against a peace officer (25,35)",177.14,351.01,837.83,423.24,314.57
Nunavut (15),Total other assaults,12.65,15.53,18.28,5.96,17.81
Nunavut (15),Unlawfully causing bodily harm,3.16,3.11,3.05,0,0
Nunavut (15),Criminal negligence causing bodily harm,3.16,3.11,3.05,0,8.9
Nunavut (15),Other assaults,6.33,9.32,12.19,5.96,8.9
Nunavut (15),"Total firearms; use of, discharge, pointing",22.14,21.74,39.61,77.49,65.29
Nunavut (15),Discharge firearm with intent,12.65,0,3.05,23.84,26.71
Nunavut (15),Using firearm in commission of offence,0,0,9.14,5.96,17.81
Nunavut (15),Pointing a firearm,9.49,21.74,27.42,47.69,20.77
Nunavut (15),Total robbery (18),56.94,71.44,42.65,35.77,17.81
Nunavut (15),Robbery (18),56.94,71.44,42.65,35.77,17.81
Nunavut (15),Robbery to steal a firearm (18),,,0,0,0
Nunavut (15),Total forcible confinement or kidnapping (34),120.2,136.68,155.38,119.22,118.7
Nunavut (15),Forcible confinement or kidnapping (34),120.2,136.68,152.33,20.86,0
Nunavut (15),Kidnapping (34),,,0,2.98,0
Nunavut (15),Forcible confinement (34),,,3.05,95.38,118.7
Nunavut (15),Total abduction,0,0,3.05,0,2.97
Nunavut (15),"Abduction under the age 14, not parent or guardian",0,0,3.05,0,2.97
Nunavut (15),Abduction under the age 16,0,0,0,0,0
Nunavut (15),Removal of children from Canada,0,0,0,0,0
Nunavut (15),Abduction under the age 14 contravening a custody order,0,0,0,0,0
Nunavut (15),"Abduction under age 14, by parent or guardian",,,0,0,0
Nunavut (15),Extortion,3.16,0,0,2.98,5.94
Nunavut (15),Criminal harassment (36),66.43,77.66,82.26,74.51,175.09
Nunavut (15),Uttering threats,1239.96,1149.32,1404.5,1305.48,1552.07
Nunavut (15),Threatening or harassing phone calls,341.62,351.01,478.32,560.34,495.59
Nunavut (15),Total other violent violations,85.41,71.44,67.03,32.79,44.51
Nunavut (15),Conspire to commit murder,0,0,0,0,0
Nunavut (15),Other sexual violations,69.59,34.17,0,0,0
Nunavut (15),Sexual Exploitation of a person with a disability,0,0,0,0,0
Nunavut (15),Incest,0,6.21,15.23,11.92,11.87
Nunavut (15),Corrupting morals of a child,0,0,3.05,0,0
Nunavut (15),Anal intercourse,0,0,0,2.98,0
Nunavut (15),"Bestiality, commit or compel person",0,0,0,0,0
Nunavut (15),Voyeurism,0,0,3.05,2.98,5.94
Nunavut (15),Trap likely to or causing bodily harm,,,0,0,0
Nunavut (15),Hostage-taking,0,0,0,0,2.97
Nunavut (15),Trafficking in persons,0,0,0,0,0
Nunavut (15),Intimidation of a justice system participant or a journalist,0,6.21,6.09,0,0
Nunavut (15),Intimidation of a non-justice participant,0,6.21,6.09,0,0
Nunavut (15),Explosives causing death or bodily harm,0,0,0,0,0
Nunavut (15),"Arson, disregard for human life",0,9.32,24.37,8.94,8.9
Nunavut (15),Other violent violations,15.82,9.32,9.14,5.96,14.84
Footnotes:,,,,,,
1,"For the period from 1998 to 2008 Incident-based Uniform Crime Reporting Survey (UCR2) data are not available for all respondents. In order to report this level of detail for police services still reporting to the Aggregate Uniform Crime Reporting Survey (URC) over this time, a process of imputation was applied to derive counts for violations that do not exist on their own in the aggregate survey. For approximately 80% of the aggregate offence codes, there is a 1:1 mapping with a new incident-based violation code. For violations where this was not the case, such as the aggregate other Criminal Code category, it was necessary to estimate (impute) this figure using the distribution of other Criminal Code offences from existing Incident-based UCR2 respondents.",,,,,
2,"During the production of each year's crime statistics, data from the previous year are revised to reflect any updates or changes that have been received from the police services.",,,,,
3,"The methodology for calculating census metropolitan area (CMA) populations was modified in 2003. Starting in 1996, the populations for CMAs have been adjusted to reflect the actual policing boundaries within the CMA and do not reflect the official Statistics Canada population for these CMAs. CMA data are included within province-level data.",,,,,
54,"Police reported statistics may be affected by differences in the way police services deal with minor offences. In some instances, police or municipalities might chose to deal with some minor offences using municipal by-laws or provincial provisions rather than Criminal Code provisions. Counts are based on the most serious violation in the incident.",,,,,
50,"In 2012, it was discovered that the Montreal Police Service had been incorrectly applying the agreed upon definition for reporting child pornography incidents to the Uniform Crime Reporting Survey (UCR). As such, the number of violations has been revised for the years 2008 to 2011.",,,,,
16,"The violent crime category has been expanded under the Incident-based Uniform Crime Reporting Survey (UCR2) to include a number of offences not previously included in the violent crime category, including uttering threats, criminal harassment and forcible confinement. Therefore, total violent crime counts in this table will not match total violent crime counts from the Aggregate Uniform Crime Reporting Survey (URC).",,,,,
17,"Homicide data are extracted from the homicide survey database. For further information, refer to: http://www.statcan.gc.ca/imdb-bmdi/3315-eng.htm.",,,,,
24,"In general, the Uniform Crime Reporting Survey (UCR) counts any adult and youth charged for the year in which the charge was laid. The homicide totals, which come from The Homicide Survey, count any adult or youth charged with a homicide that occurred in the reference year, regardless of when the charge was laid.",,,,,
26,"Sexual violations against children is a new crime category with only partial data available prior to 2008. As a result, numbers and rates should not be directly compared to data from previous years.",,,,,
48,"In August 2012, legislation came into effect making it an offence to make sexually explicit material available to a child for the purpose of facilitating sexual offences against children/youth. The Uniform Crime Reporting Survey (UCR) introduced a new violation code to collect this information.",,,,,
25,"Any reference to Police Officer has been changed to read Peace Officer, as per the Canadian Criminal Code. Peace officer refers to any person employed for the preservation and maintenance of the public peace or for the service or execution of civil process. Examples of a Peace Officer are a mayor, warden, police officer, or bailiff constable. Please see the Canadian Criminal Code for a complete list of designates.",,,,,
35,"In 2009, legislation was introduced to create the offences of assault with a weapon or causing bodily harm to a peace officer (level 2) and aggravated assault to a peace officer (level 3). The introduction of these new codes into the UCR Survey created a system anomaly which resulted in some non-peace officer assaults being coded as peace officer assaults in 2010. Comparisons to 2010 should be made with caution.",,,,,
18,Robbery counts have been revised for the years 1998 to 2007. This change has resulted in an increase of approximately 12% annually in the number of reported robbery incidents for this time period. Use caution when comparing these data with prior years.,,,,,
34,"Historically police services have reported kidnapping and forcible confinement under a single combined violation code. In 2008 the Incident-based Uniform Crime Reporting Survey (UCR2) introduced separate codes for these violations which police services utilize as their Records Management Systems are updated to allow them. As a result, comparison with previous years should be done with caution.",,,,,
36,"For the period from 1998 to 2007 Incident-based Uniform Crime Reporting Survey (UCR2) data on criminal harassment are not available for all respondents. In order to report this violation for police services still reporting to the aggregate Uniform Crime Reporting Survey (UCR) over this time, a process of imputation was applied to derive counts using the distribution of 'other' Criminal Code offences from existing Incident-based Uniform Crime Reporting Survey (UCR2) respondents.",,,,,
51,"In 2012, Charlottetown altered the classification of calls from the public regarding impaired driving which accounts for the decrease at the municipal and provincial levels that year.",,,,,
7,"During the revision of 2001 data for the province of Ontario, a discrepancy in methodology applied by the forces in the province using the Ontario Municipal and Provincial Police Automated Co-operative (OMPPAC) system was detected. These forces report approximately one-third of the total criminal incidents for the province and include the Ontario Provincial Police and about 60 small and mid-sized municipal forces. This discrepancy resulted in an over-count of less serious criminal incidents. During 2003 and 2004, the Canadian Centre for Justice Statistics (CCJS) consulted with affected police services and analyzed both historical Aggregate Uniform Crime Reporting Survey (UCR) data and more recent Incident-based Uniform Crime Reporting Survey (UCR2) microdata to determine the impact of this over-reporting. The effect at the Canada level was, on average, 1% per year from 1977 to 2000. This over-counting peaked in 1991, where it was estimated that the total crime rate for the country was over-estimated by approximately 1.8%. However, the overall historical trend changed very little. The impact in Ontario is more noticeable, but the overall trend is still very similar. On average, the effect was 2% to 3% per year, with the biggest change occurring in 1991, where the Ontario crime rate is 5% lower as a result of the adjustment. For further information, refer to the report:<A HREF=""http://www.statcan.gc.ca/imdb-bmdi/document/3302_D13_T9_V1-eng.pdf"">Summary of Historical Adjustments to Crime Data for Ontario 1977-2000</A>.",,,,,
6,The census metropolitan area (CMA) of Ottawa-Gatineau was formerly known as Ottawa-Hull.,,,,,
52,"Ottawa numbers also include child pornography incidents reported by the National Child Exploitation Coordination Centre of the Royal Canadian Mounted Police (RCMP) which is located in the City of Ottawa. The Centre responds to internet-facilitated sexual abuse cases nationally. Therefore, while the incidents are detected by the RCMP Centre located in Ottawa and appear in Ottawa's crime statistics, the incidents themselves or the offenders are not limited to the city of Ottawa.",,,,,
8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census.",,,,,
33,"In 2009, slight changes were made to the respondent-to-CMA mapping for this census metropolitan area (CMA) which have resulted in minor revisions to previously published data.",,,,,
11,"Prior to 1999, a number of Royal Canadian Mounted Police (RCMP) detachments in Saskatchewan were double counting the number of actual offences of impaired driving. This over-counting was corrected in 1999, therefore, comparisons with previous years should be made with caution. It is recommended that the analysis of impaired driving be based on persons charged data rather than actual offences.",,,,,
28,"Youth crime in British Columbia may be somewhat undercounted due to the Crown charge-approval system in place whereby, even for minor offences, there must be approval by the Crown before charges are laid after police have made an arrest. This approval is based on the substantial likelihood of conviction.",,,,,
41,"Youth crime in British Columbia may be somewhat undercounted due to the Crown charge-approval system in place whereby, even for minor offences, there must be approval by the Crown before charges are laid after police have made an arrest. This approval is based on the substantial likelihood of conviction.",,,,,
49,"In 2011, the introduction of the Immediate Roadside Prohibition (IRP) in British Columbia provided an alternative method for officers to proceed with penalties for impaired drivers and may account for the trends reported for 2011 and 2012.",,,,,
15,"1998 data in this table for Northwest Territories also includes Nunavut. In 1999, Nunavut, which comprises the eastern part of the old Northwest Territories, officially became a Canadian territory. Starting in 1999, data are displayed separately for the Northwest Territories and Nunavut.",,,,,
